sourceWord	targetWord	minSource	maxSource	minTarget	maxTarget
catapult	カタパルト 	
stone (to death)	石に（死へ） 	
larva	幼虫 	
bathroom sink (us)/ washbasin	バスルームのシンク（アメリカ）/洗面台 	
dishwasher	食器洗い機 	i got a rash on my hands from dishwasher detergent.	i got a rash on my hands from dishwasher detergent.	台所洗剤で手に発疹ができた。	台所洗剤で手に発疹ができた。
lick	舐める 	i had a lick at the jam.	for dehydration, take a lick of salt.	長い物には巻かれろ。	そのジャムをちょっとなめてみた。
reading	読み方 	i am reading a book.	my latin teacher used to look down sternly on me over the rim of her glasses, but now i know it only had to do with the fact that she was wearing reading glasses and that she will have found it a nuisance taking them off all the time, so what looked like contempt towards us students might well and truly have been kindness.	考えすぎだよ。	かつて私のラテン語教師は、メガネの縁からいかめしく私を見下していた。でも今は、それはただ、彼女が読書用のメガネをかけていたので、それをしょっちゅう外す事をやっかいに思ったのだと分かる。つまり、私たち生徒に向けてまるで蔑んでいるように見えていたものは、どうやら実際は優しさだったのである。
slightly (ici)	やや（ici） 	
~ legislative elections	〜立法選挙 	
legitimate	正当な 	which prince is the legitimate heir to the throne?	we consider it the citizens' legitimate right to have public libraries.	どちらの王子が正統な王位継承者か。	ちゃんとした理由をいってくれなければ、君と離婚するつもりはないよ。
matter little	ほんの少しになる 	
lever	レバー 	you can adjust the seat height by moving the adjustment lever up.	you can adjust the seat height by moving the adjustment lever up.	調節レバーを上に上げると座面の高さを調節できます。	調節レバーを上に上げると座面の高さを調節できます。
liana	リファナ 	
liberalism	自由主義 	
liberation	解放 	she is said to be a leader in the women's liberation movement.	women's liberation is a broad-based but informal popular movement.	彼女はウーマンリブ運動の指導者だと言われている。	ウーマン・リブは底辺は広いが、非公式な民衆の運動である。
free	無料に 	i'm free now.	when i was in middle school, i had a friend in the track club who normally studied 3 hours a day. he didn't speed up the pace before tests. on the contrary, he didn't have any club activities and so had lot of free time, so before the test we would go to his house and play video games every day. if we hadn't done that, i would have gotten better grades too.	いま暇？	新型コロナウイルスの感染拡大防止のために、ライブイベントの自粛が相次ぐ中、あるエンタテインメント企業は、エンタテインメントの力で少しでも楽しい時間を過ごしてもらえるようにと、所属アーティストのライブ映像コンテンツを期間限定で無料配信すると発表した。
self-service	セルフサービス 	a cafeteria is a self-service style restaurant.	a cafeteria is a self-service style restaurant.	カフェテリアは料理を自分で取るセルフサービスのレストランです。	カフェテリアは料理を自分で取るセルフサービスのレストランです。
cork	コルク 	this cork won't come out.	the champagne cork popped out.	コルクの栓がどうしても抜けなかった。	シャンパンの栓がぽんと音を立ててとんだ。
(limited)	（限られた） 	
limits	限界 	this building is off limits now.	radioactive cesium in amounts exceeding limits has been measured on young lancefish caught in fukushima prefecture.	彼は我慢の限界に来ている。	テレビはしばしば家庭内の意思の疎通を妨げるという事実はすでによく知られている。
lemonade	レモネード 	the lemonade is cold.	he drinks lemonade every morning.	レモネードは冷たい。	彼は毎朝レモネードを飲むよ。
limpid	lim lim 	
linen room (ici)	リネンルーム（ici） 	
ingot	インゴット 	
straightening	矯める 	"do you know what kind of tree you just broke?" "no, i don't," i answered the detective. while looking through the open door, the detective shouted, "hey, do you know what kind of tree he just broke?" "um, looks like it's a yew plum pine," said the voice of a young woman. after straightening himself in his seat, the detective asked me one more time: "do you know what kind of tree you just broke?"	"do you know what kind of tree you just broke?" "no, i don't," i answered the detective. while looking through the open door, the detective shouted, "hey, do you know what kind of tree he just broke?" "um, looks like it's a yew plum pine," said the voice of a young woman. after straightening himself in his seat, the detective asked me one more time: "do you know what kind of tree you just broke?"	「お前が折った木の種類わかるか？」「いや知らない」刑事に問われ俺は答えた。刑事は開いたドアの方を見ながら「おい、こいつの折った木の種類わかるか？」と声を上げた。「えっと、槙らしいです」と若い女性の声。刑事は居住まいを正すと「お前が折った木の種類わかるか？」ともう一度聞いた。	「お前が折った木の種類わかるか？」「いや知らない」刑事に問われ俺は答えた。刑事は開いたドアの方を見ながら「おい、こいつの折った木の種類わかるか？」と声を上げた。「えっと、槙らしいです」と若い女性の声。刑事は居住まいを正すと「お前が折った木の種類わかるか？」ともう一度聞いた。
smooth (down)	滑らかにする（下） 	
sleek	sle. 	
list	リスト 	the list is as follows.	with north korea's announcement on the 26th of its nuclear development plan based upon the agreement stemming from the six party talks, and the united states' commencement of procedures to remove north korea from its designation on the list of state sponsors of terrorism, the families of abductees have expressed growing unease that it may constitute an abandonment of the abductee issue.	リストは次のとおり。	北朝鮮が６か国協議の合意に基づき核開発計画を申告した２６日、米国が「テロ支援国」の指定解除手続きに入ったことで、拉致被害者の家族らには「拉致問題が置き去りにされるのでは」という不安が広がった。
???	??? 	
study literature	文学を研究するために 	
white (de peur)/pallid (par maladie)	ホワイト（de peur）/ pallid（par maladie） 	
delivery	納入 	i had an easy delivery last time.	as i checked your delivery that i received, i found it included a t-shirt which i did not order.	先回は難産でした。	配達のレシートに受け取った品物の正確なリストがない限り、サインをしてはいけません。
deliver	配信する 	can you deliver this?	please order this product by february 15, and we will be able to deliver it before march 15.	悪より救い出し給え。	この製品は、２月１５日までにご注文いただければ、３月１５日までにお届けすることができます。
delivery man	配達人 	a delivery man is dropping off an arrangement of artificial flowers.	a delivery man is dropping off an arrangement of artificial flowers.	業者が造花の花束を届けて飾っている。	業者が造花の花束を届けて飾っている。
lobby	ロビー 	i'll meet you in the lobby at three.	let's meet in the lobby of the imperial hotel at 6:30 p.m.	３時にロビーで会いましょう。	明日の朝、何時にロビーにしゅうごうすればいいですか。
local	地元 	is this a local train?	mr pryor collapsed with a subarachnoid haemorrhage when rehearsing for a performance in paris. he was taken to local hospital but passed away at 4:23 pm.	彼女は地方公務員だ。	プライヤー氏はパリでの公演のリハーサル中にくも膜下出血で倒れ、市内の病院に運ばれましたが午後４時２３分息を引き取りました。
locate	見つけるために 	locate puerto rico on a map.	i became very nervous when i couldn't locate my passport.	プエルトリコの位置を地図の上に示しなさい。	パスポートが見つからなかった時、とてもあせった。
tenant	テナント 	the previous tenant took excellent care of her apartment.	the tenant must pay the landlord the rent at the end of each month.	店子は毎月末に大家に家賃を払わなければならない。	前の借家人は、アパートの雑用を抜群によくやっていた。
renting	借りる 	three soldiers who came back from the war are renting a house at the edge of a small town on the shore of the inland sea and live together.	three soldiers who came back from the war are renting a house at the edge of a small town on the shore of the inland sea and live together.	三人の帰還軍人が瀬戸内海沿岸のある小さな町のはずれに一軒の家を借りて共同生活をしている。	三人の帰還軍人が瀬戸内海沿岸のある小さな町のはずれに一軒の家を借りて共同生活をしている。
housing	ハウジング 	the housing shortage is very acute.	the present housing policy is likely to come up against considerable opposition.	住宅不足は深刻だ。	住宅問題を解決するために、政府が最善を尽くしているとは思えない。
logical	論理的な 	he wins his arguments by logical reasoning.	around his facts the scientist weaves a logical pattern or theory which gives the facts meaning, order, and significance.	それでは本末転倒だ。	自分が集めた事実をもとにして、科学者は、その事実に意味と秩序と価値を与える論理の模様すなわち理論を織りあげるのである。
logic	論理 	i find no logic in his argument.	these things are much better spoken about face to face so that we can draw diagrams and demonstrate timings on logic analyzers and oscilloscopes where necessary.	彼の議論には筋道が無い。	このようなことについては直接お会いして、図面に書いたり、ロジックアナライザやオシロでタイミングを見たりしながら話し合ったほうが解決が速いです。
leisure time activities	余暇活動 	
walk along	歩くために 	i would walk along the river.	nothing is so pleasant as taking a walk along the seaside on a fine day.	私達は川沿いを散歩した。	晴れた日に海岸を散歩することほど気持ちのよいものはない。
longitude	経度 	distance per degree of longitude at equator.	distance per degree of longitude at equator.	赤道における経度1度当たりの長さ。	赤道における経度1度当たりの長さ。
length	長さ 	he measured the length of the bed.	i'm looking for a coat. i'm short so the length should be on the short side, and as refined a design as possible.	船はやっと母港についた。	所属していた組織に対する、長期間にわたる忠勤ぶりにもかかわらず、かれが報われたのは僅かな金額にすぎなかった。
lozenge	lo lo 	
lottery	宝くじ 	tom bought a lottery ticket.	john took the lion's share of the lottery winnings; he claimed it was his idea to buy the ticket in the first place.	まだ宝くじ買ってるの？	当たった宝くじの賞金の大半を、ジョンは独り占めにした。宝くじを買おうと最初に思いついたのは彼なのだからというのがその言い分だ。
prize	賞 	the prize went to him.	you have just won a prize of $5000 in a california state safety competition for proper use of your seatbelt.	賞は彼の手に。	あなたはシートベルトをちゃんと使用していたとして、カリフォルニア州交通安全大会において賞金５０００ドルを獲得されました。
shady	陰気 	this place is too shady for taking photos.	my uncle's brother's son got involved in a shady business and disgraced the family.	ここは、写真を撮るのには暗すぎる。	叔父の兄の倅が変なビジネスに手を染めて、家名を落とすことになった。
ladle	お玉 	
squint	泣くために 	
clear-headed	澄んだ 	
lucidity	l l 	
lucrative	有界の 	several more companies are moving to enter the lucrative pet food market of the country.	several more companies are moving to enter the lucrative pet food market of the country.	あと数社の企業が同国の利益の高いペットフード市場に参入をねらっている。	あと数社の企業が同国の利益の高いペットフード市場に参入をねらっている。
fun (ici)	楽しい（ici） 	
chandelier	シャンデリア 	a crystal chandelier was hanging over the table.	there was a beautiful chandelier hanging from the ceiling.	天井から美しいシャンデリアが下がっていた。	ガラス製のシャンデリアがテーブルの真上に下がっていた。
luxury	豪華さ 	this is luxury beyond my income.	the reduced price of luxury goods is just window dressing to make the new consumption tax look better.	豪華客船が港に入った。	高額品の値下げなどときれいごとをいっても、結局のところ新消費税への風当たりを和らげる口実にすぎない。
luxurious	豪華な 	the hotel was luxurious beyond description.	brian's girlfriend often begs him to take her to luxurious restaurants.	私は豪華なホテルでは落ち着かない。	ブライアンの彼女はよく彼に贅沢なレストランに連れていってと頼みます。
mechanically	機械的に 	you don't even know how to use a digital camera? how mechanically illiterate can you be? all you need to do is press the shutter.	you don't even know how to use a digital camera? how mechanically illiterate can you be? all you need to do is press the shutter.	デジカメの使い方もわからないなんて、どんだけ機械音痴なんだよ。シャッター押せばいいだけだろ。	デジカメの使い方もわからないなんて、どんだけ機械音痴なんだよ。シャッター押せばいいだけだろ。
jaw	顎 	my jaw hurts.	those shadows appeared in a way like giant dinosaurs, with a long neck and a very big jaw without teeth.	あごが痛い。	あの影はまるで、長い首と歯の無い大顎を持った、巨大な恐竜のように見えた。
magic	マジック 	i can do magic tricks.	mp (magic): ability score needed to use magic. as you use magic it drops, but with time it recovers.	手品できるよ。	魔力(ｍａｇｉｃ)：魔法を使うために必要な能力値。 魔法を使うと減少するが、時間で回復する。
magical	魔法の 	mr brown has a magical way with children.	shurrup! don't make such a fuss over a little headache. i'm flat out of magical power - this is all your fault!	僕と契約して魔法少女になってよ。	うるさいなっ！少しの頭痛くらい我慢しろ。余は魔力がすっからかんだ。それもこれも姫のせいだぞ。
magma	マグマ 	
magnetic field	磁場 	so there is a magnetic field around earth.	the rapid spin of the earth along with the liquid, hot metallic core causes a magnetic field to surround the earth.	だから地球の周りには磁場があります。	地球は内部の高温の液体金属の中心核とともに高速回転するので、地球全体を覆うような磁場を発生させる。
get thinner	より薄くなるために 	
swimsuit	水着 	i ordered this swimsuit from france.	that swimsuit looks really good on you.	私はこの水着をフランスに注文した。	私はこの水着をフランスに注文した。
workforce	労働力 	management has threatened to lock out the workforce if they do not accept the proposed changes.	forty percent of the workforce are white-collar workers, most of whom have some of the most tedious and idiotic jobs ever concocted.	経営側は、労働側が、提案された変更点を受け入れないなら工場閉鎖すると、脅している。	労働力の４０パーセントはホワイトカラー労働者であり、その大部分は、退屈でばかばかしいデッチアゲ仕事をしている。
maintenance	メンテナンス 	the maintenance of the house costs a lot.	getting a sports car is easy, compared to the maintenance one must do on it.	あなたは車の定期点検をすべきです。	維持することに比べれば、スポーツカーを持つことは簡単だ。
maintain	維持する 	he is trying to maintain two jobs.	we must develop and maintain the capacity to forgive. he who is devoid of the power to forgive is devoid of the power to love. there is some good in the worst of us and some evil in the best of us. when we discover this, we are less prone to hate our enemies.	名声を保つことは難しい。	人を許すことを覚え、身につけなければいけません。許す力量のない者には、愛する力もありません。最悪の人間にもどこか取り柄があるように、最高の人間にも悪い面はあります。これがわかれば、敵を憎む気持ちが薄れます。
master	マスターする 	master rang the bell.	this girl is still in elementary school, yet she has a wine-tasting master license. i didn't know one could get qualified without even drinking alcohol.	多芸は無芸。	この女の子、まだ小学生なのに利き酒師の資格を持っているんだってさ。お酒が飲めなくても資格が取れるなんて知らなかったよ。
hold the majority	大部分を握るために 	
majority	ity major 	the majority was for him.	i saw some english female soldiers in yesterday night's news reel. for some, you couldn't tell whether it was a man or a woman, but the majority were rather feminine, and it didn't feel that grotesque.	多数が彼に賛成だった。	私は昨夜ニュース映画で英国の女兵隊というものをみたが、なかには男か女かわからないようなのもいたけれども、大部分は、なかなか女らしいところがあって、しかもそうグロテスクな感じはしなかった。
clumsy mistake (ici)	不器用な間違い（ici） 	
feel faint	気になる 	
bad luck	不運 	it's bad luck to say that.	his old company gave him the shaft. but i admire the way he turned bad luck into good and did even better with his own business.	縁起でもないこと言うなよ。	彼は会社をくびになったんだけど、わざわい転じて福となすで、見事独立したから偉いよ。
unlucky	不運 	how unlucky i am!	if you throw something like that down, if someone's unlucky enough to be hit they'll be injured.	彼は、不運な人です。	不運にもａｌｓにかかってしまったことは別として、私は、他のほとんどすべての天で幸運であった。
curse	呪い 	don't curse or i'll wash your mouth out with soap.	she speaks five foreign languages, but when she wants to curse she speaks in her mother tongue.	また彼は政府に対して以外には悪口を言う事もなかった。	汚いことばを口にするんじゃありません、でないとその口を石鹸で洗ってしまいますよ。
misfortune	不幸 	a misfortune befell him.	there are two contradicting emotions within the human heart. needless to say, there isn't a person who doesn't feel empathy towards other's misfortunes. however, when you see a person finally able to overcome their misfortunes it is possible to feel a sense of dissatisfaction. to exaggerate a little, it leaves you with a sense that you want to see that person fall into the same misfortune again. before you know it you unwillingly harbour a sense of hostility towards them.	不幸が彼の身に起こった。	人間の心には互に矛盾した二つの感情がある。勿論、誰でも他人の不幸に同情しない者はない。所がその人がその不幸を、どうにかして切りぬける事が出来ると、今度はこっちで何となく物足りないような心もちがする。少し誇張して云えば、もう一度その人を、同じ不幸に陥れて見たいような気にさえなる。そうして何時の間にか、消極的ではあるが、或敵意をその人に対して抱くような事になる。
unfortunately	残念ながら 	it is unfortunately true.	unfortunately we were unable to record your participation. this may be due to the fact that you already participated in this opportunity or there was a suspected violation of our terms and conditions. you will be redirected to your panel platform.	詩人は不幸にも若死にした。	残念ながらお客様のご参加を記録することができませんでした。　原因としては、既に以前にご参加頂いているか、契約条件に反している行為があった可能性があります。　パネルプラットフォームへ転送いたします。
dishonest (person)	不正直（人） 	
dishonesty	不正 	
briefcase	ブリーフケース 	my briefcase is full of papers.	tom took the bottle of scotch from his briefcase and handed it to mary.	彼の鞄は水でいっぱいだった。	トムは自分の書類カバンからスコッチのボトルを取り出し、メアリーに手渡した。
unhealthy (ici)	不健康な（ici） 	
abuse (ici)	虐待する（ici） 	
merry-go-round (manège « simple ») / fair-ground attraction (dans un parc d'attraction)	メリーゴーラブ（manège«シンプル»）/フェアグラウンドアトラクション（dans un parc d'attrant） 	
throttle/stick	スロットル/スティック 	
maniac	マニアック 	
odd habit	奇妙な習慣 	
way	仕方 	i'm on my way out.	it was about the year 2000 when i remember doing my first trip to korea. using my limited korean, i had lots of trouble asking for basic things like where the train or bus were, and even what the way was to places. i remember lots of people responding to me in english, and while i was pretty relieved at that, i’ve gotta say: people in the country right next to us, speaking a language from peoples on the other side of the world! it’s only when you look at it in that objective state of mind that you realize how strange that is.	それは逆だ。	けれども私たちがどういう挑戦に直面しているのか、私はいつも必ずみなさんに正直に話します。私は必ず、皆さんの声に耳を傾けます。意見が食い違うときは、特にじっくりと。そして何よりも私は皆さんに、この国の再建に参加するようお願いします。国を建て直すとき、アメリカでは過去221年間、いつも必ず同じようにやってきた。ささくれたタコだらけの手で、ブロックを一枚一枚積み上げ、レンガを一枚一枚積み上げてきたのです。
demonstartor	デモンストレーター 	
demonstration	デモンストレーション 	while the demonstration was being made, the president was taking notes.	up to now he had made nine humanoid robots but they were all demonstration models.	デモが行われている間、社長はノートを取っていた。	彼は今までに９体の人型ロボットを製造していたが、その全てはデモンストレーションモデルだった。
obviously	明らかに 	obviously not!	obviously wash your face, but you must also take care of your appearance before assembling here.	嘘に決まってんじゃん。	私たちは勿論サポートしますが最後に決めるのは貴方の熱意だということを覚えていてください。
demonstrate	実証するために 	i'll demonstrate how this machine works.	these things are much better spoken about face to face so that we can draw diagrams and demonstrate timings on logic analyzers and oscilloscopes where necessary.	続いて彼はその機械の動かし方を実演してくれた。	このようなことについては直接お会いして、図面に書いたり、ロジックアナライザやオシロでタイミングを見たりしながら話し合ったほうが解決が速いです。
manipulation	操作 	
manipulate	操作する 	tom doesn't like people who manipulate others.	tom doesn't like people who manipulate others.	トムは他人を操る癖のある者が気に食わない。	トムは他人を操る癖のある者が気に食わない。
model	モデル 	i made a model plane.	my friend from university gave me a kindle because he said he wasn't using it anymore. it's the dx model with a large screen. it's not easy to use, but the screen is indeed quite nice. it hadn't bothered me until now, but it's become hard for me to read something on a normal lcd screen.	トムは模範囚だった。	大学時代の友達がもう使っていないというのでkindleをくれた。dxという画面の大きいモデルだ。操作性は良くないが、画面に関してはなるほどいいもんだ。今まではそう気にならなかったが、もはや普通の液晶画面で物を読むのが辛い体になってしまった。
missing	欠落の 	am i missing something?	when i took a good look at the children standing on my porch, i knew they were the same kids that went missing the night before.	その像は首が欠けている。	ｍａｒｋ／ｓｐａｃｅは７月１８日、ｍａｃ　ｏｓ ｘ用シンクロソフト、ｍｉｓｓｉｎｇ　ｓｙｎｃ　ｆｏｒ　ｗｉｎｄｏｗｓ　ｍｏｂｉｌｅのアップデート版をリリースした。
lack (ici)	不足（ici） 	
map of the world (carte plate)/ globe (sphère)	世界地図世界の地図（カルテプレート）/地球儀（sphère） 	
(scale) model	（スケールモデル 	
put one's make-up	自分のメイクアップを入れる 	
marathon	マラソン 	he timed her in the marathon race.	taking the opportunity for president obama to visit japan as a state guest, the chief trade negotiators of japan and the u.s. conducted a series of marathon meetings from midnight to early morning.	日曜日に福岡マラソンが行われた。	マラソン競技に初めには、何十人もの選手が出発するが、ゴールまでくるのはごく一部の選手であり、優勝するのはたった一人である。
shopkeeper	店主 	the shopkeeper urged me to buy it.	the shopkeeper urged me to buy it.	店主は私にそれを買うようしきりに勧めた。	店主は私にそれを買うようしきりに勧めた。
bargain (over)	バーゲン（オーバー）へ 	
goods (pl)	商品（pl） 	
market	市場 	the market rallied.	in order to prevent a further drop of the japanese currency, the bank of japan intervened in the market to support it at around 150 yen to the dollar.	今は下がり相場だ。	民生用・産業用を含めて、ゴミのかさをコンパクト化する機器の今後の市場成長性が法制度の動向と関連して注目される。
walker	歩行者 	a fast walker can walk six kilometers in an hour.	he must be a good walker to have walked such a long distance.	足の速い人は１時間に６キロ歩けます。	ずっと歩いて来たとは、あなたは足が丈夫なのにちがいない。
stair	階段 	i wonder whether it uses more energy to climb stairs normally or by skipping one stair with each step.	i wonder whether it uses more energy to climb stairs normally or by skipping one stair with each step.	階段って、普通に上るのと一段飛ばしで上るのとではどっちが体力使うんだろう。	階段って、普通に上るのと一段飛ばしで上るのとではどっちが体力使うんだろう。
walk	歩く 	walk slowly.	i am your father's spirit, doomed for a certain time to walk the night, and during the day i am confined to burn in fires, until the evil crimes i had done in my life are burnt and purged away.	公園で散歩なう。	我こそは汝が父の亡靈なれ。只眞夜中の若千時のみ、閻浮にさまよふ許あれども、娑婆にて犯しゝ罪業の燒き淨めらるゝそれまでは、焦熱地獄の餓鬼の苦しみ。
tuesday	火曜日 	tuesday was certainly cold.	there will be an in-person meeting of the marketing subcommittee on tuesday afternoon of jan 27, 1999 at the san francisco ca airport marriott.	来週の月曜と火曜は連休だ。	マーケティング分科会の実際のミーティングは、１９９９年１月２７日の午後、カリフォルニア州サンフランシスコ・エアポートマリオットで行います。
swamp	沼地 	
marshy	沼沢 	
margin	マージン 	i allowed a margin of ten minutes.	we're in a slump, barely scraping by, so we certainly don't have the margin to take on a part-time worker.	乗り換えに５分の余裕しかない。	ウチだって閑古鳥が鳴くようなカツカツの状態だから、バイトを雇う余裕なんてない。
sailor	船員 	a sailor is at sea much of the time.	a sailor frequently has no time to get his sea legs after leaving port before a battle starts.	船乗りはほとんどの間航海に出ている。	海戦に先立って出港したからには、乗組員が船に慣れる時間がないことが、しばしばあるものだ。
puppet	傀儡 	this puppet is my only friend.	a puppet does not know that it is being controlled.	傀儡は操られている事を知らない。	私は数奇な運命にもてあそばれてきた。
marmot	マーモット 	
note	注意します 	note how i do it.	tom passed a five euro note to his daughter, mary, and said "buy whatever you'd like with this."	次のように記載します。	注目すべき重要な点は、両方の政党がこの問題に対しては似たような解決策を提示したことである。
be fed up with	うんざりする 	
chestnut	栗 	anna has chestnut brown hair, but magdalena has blonde hair.	the prancing chestnut mare whinnied as she tried to get rid of the rider.	アナの髪は栗色だがマグダレナは金髪です。	棹立ちした栗毛の牝馬は嘶き、騎手を落とそうとした。
march	行進 	my birthday is on march 22.	in japan, the 3rd of march is known as "momo no sekku". as an event which wishes upon the healthy development and happiness of young girls, hina-dolls and peach flowers are used as decoration. peach flowers are beautiful, light pink flowers, and symbolise "charmingness".	３月３日はひな祭りです。	日本では、３月３日は「桃の節句」と呼ばれ、女の子の成長と幸福を願う行事として、お雛様や桃の花などを飾ります。桃の花は、薄紅色のきれいな花です。花言葉は、「チャーミング」です。
pneumatic drill	空気圧ドリル 	
marxist	マルクシスト 	
mask	マスク 	put your mask on.	japanese women mask their faces on days when they don’t have time to put on makeup.	マスクをしなさい。	必要な場合があれば彼は自分の感情をかくすことができる。
massacre	虐殺 	the general ordered the massacre of all war prisoners.	the general ordered the massacre of all war prisoners.	将軍は捕虜全員の虐殺を命じた。	将軍は捕虜全員の虐殺を命じた。
slaughter	虐殺する 	the slaughter of the prisoners was a barbarous act.	the slaughter of the prisoners was a barbarous act.	捕虜を虐殺したのは残忍な行為だ。	捕虜を虐殺したのは残忍な行為だ。
massage	マッサージする 	that massage felt good.	would you like me to massage your chest?	胸をさすってあげましょうか。	あのマッサージ、気持ちよかった。
massage	マッサージ 	that massage felt good.	would you like me to massage your chest?	胸をさすってあげましょうか。	あのマッサージ、気持ちよかった。
dark-skinned	暗殺された 	
mast	マスト 	the mast broke and our ship went adrift.	the mast broke and our ship went adrift.	マストが折れて僕たちの船は漂流し始めた。	マストが折れて僕たちの船は漂流し始めた。
seaman (civil)	船員（民間） 	
equipment	装置 	you need good equipment to climb that mountain.	that sports are gaining in popularity all over the world is evidenced by the sports news in the papers, by the many sports equipment stores, and by the number of runners who participate in marathons or other races.	あの山に登るには完全な装備が必要だ。	世界中でスポーツの人気が高まっていることは、新聞でのスポーツ・ニュース、スポーツ用品店の多さ、マラソンその他のレースに参加する人の数などによって明らかである。
maternity home	マタニティホーム 	
subject (ici)	対象（ici） 	
matter (ici)	（ici） 	
material (ici)	材料（ici） 	
mathematician	数学者 	young as he is, he is as great a mathematician as ever lived.	young as he is, he is as great a mathematician as ever lived.	若いけれども彼はこれまでに例のないほどの偉大な数学者である。	若いけれども彼はこれまでに例のないほどの偉大な数学者である。
be an early riser	初期のライザーになるには 	
morning	朝 	i'm a morning person.	that day, the rain that had been falling since morning seemed as if it was about to stop around the time that the streetlamps are lit, but as night came it suddenly turned into pouring rain.	もう朝なの？	翌朝、彼女は私の耳もとに口をよせて 「あたしたち、今晩パリへ帰りますの。あたしをこんな淋しい処へ一人で置いて置くわけに行かないっていうんですのよ。それやそうね」
morning	朝 	i'm a morning person.	that day, the rain that had been falling since morning seemed as if it was about to stop around the time that the streetlamps are lit, but as night came it suddenly turned into pouring rain.	もう朝なの？	翌朝、彼女は私の耳もとに口をよせて 「あたしたち、今晩パリへ帰りますの。あたしをこんな淋しい処へ一人で置いて置くわけに行かないっていうんですのよ。それやそうね」
cursed	呪われた 	she cursed loudly.	the thief cursed the police for finding him.	魔女は哀れな少女を呪った。	事故を起こしたことで彼女は彼をののしった。
maximum	最大 	mark your maximum efforts.	powerlifting is a sport in which athletes compete to lift the maximum sum weight of the three heavy weight events, squat, bench press and deadlift.	最大２００語以内に。	パワーリフティングは高重量を扱える種目であるスクワット、ベンチプレス、デッドリフトの3種目の最大挙上重量の総計を競うスポーツである
mechanic	メカニック 	the mechanic assembled the engine.	a skilled mechanic earns decent wages.	修理工はエンジンを組み立てた。	熟練した機械工はかなりの賃金を稼ぐ。
tuft of hair	髪の房 	
wick	芯 	
displeased	displ displ 	she was displeased at my letter.	if you have not paid because you are displeased with something we have done, would you tell us what it is?	彼は彼女の無作法に怒った。	私どもがお気に召さないことをしたことが未払いの原因となっているのでしたらご指摘ください。
medal	メダル 	he made a medal of gold.	in olympic competitions, a gold medal is for first place, a silver medal for second, and a bronze medal is for third place.	彼は金でメダルを作った。	オリンピックでは金メダルが１位、銀メダルが２位、銅メダルが３位だ。
media-friendly	メディアフレンドリー 	
give media coverage	メディアの報道を与えるために 	
medieval	中世の 	i specialize in medieval history.	the medieval times were an age when a human being wasn't free.	私は中世史を専攻している。	中世の教会は肉体をさげすみ霊をたたえた。
melancholic	メランコリック 	
tune	曲 	can you tune my guitar for me?	younger cubans tend to tune into the american television network.	彼女はピアノで１曲弾いた。	私はその演奏家にフルートで何かもの悲しい曲を吹いて欲しいとおもった。
member	メンバー 	every member must attend.	"looks like maki's a twin!" ken said. "really now," i replied, totally uninterested. maki was a member of a ukulele club that ran beside our club in the school lounge. she looked lovely in ken's eyes, but to me she was just the sixth cutest girl in class - average, in my opinion.	私は営業部です。	「マキちゃんて双子らしいよ」健が言った。「知らんがな」俺は興味がないので冷たく返す。マキちゃんというのは学生ラウンジで俺たちのサークルの隣に陣取っているウクレレサークルの女の子だ。健の目にはずいぶん可憐に映っているようだが、俺に言わせればクラスで６番目に可愛いくらいの普通の娘だ。
memorization	暗記 	mathematics is not just the memorization of formulas.	mathematics is not just the memorization of formulas.	数学はただ公式を暗記すればいいというものではない。	数学はただ公式を暗記すればいいというものではない。
threatening	脅威 	are you threatening me?	my husband got the hots for a canadian and is threatening me with divorce.	今にも一雨きそうだ。	あ、あれ？なんか・・・すっごい負のオーラを感じますよ？
threat	脅威 	there is a threat of war.	in his view, the domination by english is a threat to the heritage of humanity. it poses an even worse risk: this "single language" will lead to a "single thought" obsessed with money and consumerism.	嵐のきざしがある。	共産主義は失敗し、プロレタリア独裁は時代遅れとなったので、資本主義そのものは、未だ人類を脅かすものであるにもかかわらず、今迄のところ一番良い体制であることがわかる。
threaten	脅迫するために 	don't threaten me.	it is only through knowledge that we, as a nation, can cope with the dangers that threaten our society.	脅かすなよ。	知識を通じてのみ、われわれは、一つの民族として、われわれの社会を脅かす危険に対処することができるからである。
beggar	乞食 	he is no better than a beggar is.	a freezing beggar was brought into the hospital for treatment. however, he didn't have even one cent with which to settle the bill.	彼はこじき同然だ。	凍死しそうな乞食が手当てのため、病院に運び込まれた。だが、その乞食は治療費を清算するような金は一文も、もってなかった。
beg	物乞いする 	i beg to differ.	now that i have come, you have no more time to beg for milk from your mummy!	すみません。	もう一度おっしゃって下さいませんか。お名前がはっきりと聞き取れなかったものですから。
handcuffs	手錠 	i put handcuffs on him.	i put handcuffs on him.	私は彼に手錠をかけた。	私は彼に手錠をかけた。
mental	精神的 	your mental age is too low.	about 50 percent of the firms in japan have acknowledged the necessity of giving their workers longer holidays, and think summer holidays are needed to give their workers both mental and physical refreshment.	トムは暗算が得意だよ。	日本にある会社の約５０パーセントは、従業員にもっと長く休暇を与えることの必要性を認めており、精神的及び肉体的な休養を与えるためには夏休みが必要であると考えている。
