English Word	English Sentence
Anywhere (ici)	You will not go anywhere until you have finished your homeworks.
Nowhere	Two gangsters came out of nowhere.
Someone	Someone came in my office when I was not there.
Whoever	You cannot tell this story to whoever you like.
Whatever	You can ask me for whatever you want, I will give it to you.
Any	Take any napkin you like, they are all clean.
Anywhere	He could be anywhere at that time of the day.
Whenever	You cannot come to the house whenever you want.
Each	They interviewed each candidate.
Each one	They gave a medal to each one.
Each time	Each time he goes to see his grand children he brings them presents.
Anyway	The party has been cancelled ; anyway, no one could come.
Power	This witch has numerous powers.
Can	He can swim for hours when he is in good shape.
Power	He is only looking for one thing, power.
To burn down	A building burnt down in the nearby street.
To go out	The forest fire went out when rain began to fall.
To switch off	When you get out of the room, do not forget to switch the light off.
To dry	Even if the weather was fine yesterday, the laundry did not dry.
To drown oneself	A child nearly drown himself in the river yesterday.
To take off	Wouldn't it be better if you take off your shoes ? They are soaked.
To scrub (ici)	I do not think you can remove this stain. Nevertheless, you can try again by scrubing harder.
To climb	At five, he already climbed trees.
To offend	I apologize from the bottom of my heart, I did not mean to offend you.
To steal	According to what your teacher told me, you would have stolen a pencil to a fellow classmate.
To remain silent	It would be better if you would remain silent.
To ache	My head aches since I woke up. Me too.
To be standing	The man standing over there is my brother.
To be sitting	A young man of twenty years old was sitting at the table nearby.
To be lying down	He is lying down in his bed.
Even if	Tell us what you think about it, even if you did not like it.
After	It rained a lot yesterday. After a few hours, some water began to enter the house.
At the end of	The car is parked at the end of the street.
Despite	The worst thing is he did not find a job despite his diploma.
Along	The dog began to run along the road.
Outside	I thought it was forbidden to park outside this car park.
Unless (ici)	I will not pay him a call unless you come with me.
Thanks to	He got rich thanks to good investments.
Despite	Despite what the weather forecast told, it did not rain yesterday.
Phone number	Give me either your phone number or your e-mail address.
After	After he had prepared the meal, everyone sat at the table.
Before	I have to finish this book in an hour before the library closes.
To spark	The catastrophe sparked an outburst of emotion throughout the world.
However	I think they are of the same age. However, she is more mature than he is.
Species	Several plant species disappeared due to global warming.
To advise someone not to	It is a bit after five, I advise you not to take your car at this time because of the trafic jam.
To make a habit (out) of	Some of you made a habit out of arriving late.
To pile up	You had better not pile the books up.
Fireworks	I heard that the fireworks might be cancelled.
To make a mistake	During dictations, the more stressed out he is the more mistakes he makes.
To make mistakes	This is a rather difficult exercise, even an adult would make mistakes.
To make an effort	He is not nice, he does not want to make any effort to help me.
To do sports	She has to do sports on a regular basis because of her health issues.
To try one's best	Newcomers try their best to find a job.
To make progress	According to what your tutor told me, you have made progress.
Ready	The worst thing is that he was still not ready five minutes before the departure.
By the way	By the way, your daughter is going shopping. Give her some money.
Therefore	Therefore, I only have to wait now.
In short	In short, he only has to write his conclusion and it is done.
In short	In short, I only have to hope that the experiment works now.
As for + me/you/...	As for me, I find it more pleasant to swim rather than running.
Moreover	This job is too difficult for you. Moreover, you will not have the time to do it.
According to	According to your teacher, you are the one who got the best results at the exam.
In other words	In other words, you are the one responsible for what happened.
On one hand... On the other hand	On one hand, he works less and less and on the other hand he does not listen to what he is told.
In fact	In fact, it is more interesting to continue one's studies rather than looking for a job.
As a whole	As a whole, he is a good student ; he will probably get into a prsetigious university.
On the contrary	On the contrary, I do not agree with him at all.
By the way	By the way, if you do not have anything to do today, could you come to help me ?
To set up one's mind	It took her more than a week to set up her mind.
Over	I went over the fence to go faster.
To comment	Could you stop commenting everything he says ?
Hemp	Hemp was used in the textile industry above all else.
Millet	This peasant produces wheat, barley, and millet.
To embroider	The one who is embroidering over there is my mother.
To walk fast	He is late, which is why he walks fast.
Silt	We sank in the silt by wanting to cross the river on foot.
Vase	I got this vase from my grandfather.
Equal	He cut the cake in three equal slices.
Dragon	He is only five, he still believes that dragons exist.
Leather	I went to the shop to buy a leather jacket but there were no more left.
Sheet	Could you lend me a sheet of paper ?
To fight	He has three opponents left to fight before the end of the tournament.
Ritual alcohol	What is expensive is the ritual alcohol for the ceremony.
Cooking pot	We should buy a cooking pot, a sauce pan and a frying pan.
Rock salt	I am coming back later, I am going to buy rock salt.
Hill	We are supposed to meet up at noon up this hill.
Eldest	As the eldest, he got a bigger inheritance.
Amphora	While doing excavations, they recently found amphoras which were more than two thousand years old
Craft	Several crafts sank because of the storm.
Determined	He is just like his brother, he is determined to succeed in his studies.
Horn	It seems to me that it is a cow horn.
Feline	Cats are felines.
Edible	This bird's flesh is edible.
To venerate	This tribe venerates several gods.
Cave	The cave, which entry is hidden by trees, is ten meters or so away from here.
Thread	I would need some thread to restitch this shirt.
Jade	This jade vase is about three times more expensive than that china vase.
To attack	The dog, angry, attacked the postman.
Plow (US)/Plough (GB)	The plow was pulled by a buffalo.
Container	I would need a bigger container.
A piece of fabric	I received a piece of fabric from a friend who travelled to India.
To give birth	She is going to give birth either to a girl or to a boy.
Squash	He grows tomatoes, squashes and potatoes among other things.
Beef	I bought beef, pork and fish.
Teeth	Around a month ago he had to go to the dentist because he broke several teeth.
To weave (ici)	She is weaving a basket.
Touchpad	He has been offered a touchpad for Christmas.
Stick	This stick is thrice as high as that one.
To face	You will surely face difficult situations.
Square	Please calculate the perimeter of the square.
To beat	He is beating his children.
To beat	She beat him at chess three times in a row.
Doorway	A person was standing in the doorway
Halberd	Halberds are weapons which date back to the Middle Ages.
Snout	The muzzle of a pig is called the « snout ».
To take	He took the bull by its horns which impressed me a lot.
To extend one's hand (ici)	He extended his hand but I did not shake it.
Taut	The rope is not taut enough.
Bushel	In this country, people still use bushels to measure out seeds.
To walk	You do not know how boring it is to walk this dog.
Shoot (ici)	You do not know how delicious these bamboo shoots are.
Lame	He is lame.
Tonight	His brother should arrive tonight.
At night	She often works at night which is not good for her health.
Surrounding wall	As the opposing army was approaching, the villagers took refuge within the surrounding walls of the castle.
Pregnant	It has been three months since she has known she is pregnant.
To shelter	This camp shelters more than ten thousand refugees.
To back up	He is backed up by influential persons.
Little table	While walking in the souk, he stumbled upon a nice little table which he decided to buy.
To practice divination	To practice divination, he uses either jacks or plants.
To affix one's seal	If ever he does not affix his seal, this letter will not have any value.
Trunk	There is a big trunk in the attic where you can put the clothes you do not use anymore.
Little knife	Tell me, where did you put the little knife ? Give it to me please.
Game	We are going to start a new poker game, you can join us if you like.
Part	They ate a part of the cake which made their mother very angry.
Sickle	One century ago, people still used sickles to harvest.
Hook	An enormous piece of meat was hooked on a hook.
Well-read	Of course, he is a well-read person.
To quit (ici)	He quit smoking at the age of thirty one.
Plush	He still sleeps with his favorite plush.
At the same time	The three of us arrived at the same time.
Galaxy	Tomorrow will be a year since this galaxy has been discovered.
Twenty-two	He is more than twenty-two, I am sure.
Twenty-three	How old is she ? She is twenty-three.
One hundred and one	He is soon going to be one hundred and one years old.
Nineteen o two	This building has been built in nineteen o two.
For the moment	All that are things which you do not have to learn for the moment.
In the future	In the future, do not open the letters addressed to your brother.
From time to time	From time to time, she writes a letter to her parents.
Earlier	He cut himself while cutting a slice of bread earlier.
In a moment	In a moment, I will go to the theater, or to the movies or to the restaurant.
Yesterday night	Yesterday night, I have biked from my place to the station.
Can be seen	The Eiffel tower can be seen from afar when it is sunny. I think that tomorrow we will be able to see it clearly.
Ago	Two hours ago, a friend called but you were not there.
Can	He can work from morning until night.
Everyone	Everyone had the same idea.
Ten thousand	If I only had ten thousand euros, I would go around the world.
One hundred thousand	More than one hundred thousand people live in this urban area.
Ten million	I borrowed ten million yen from a friend.
One hundred million	Somebody I know won one hundred million rupees by playing poker.
Angry	He is not angry at all, what do you think that ?
First	Please fill in this file first.
As soon as possible	You should be done with this report as soon as possible.
From now on	From now on, you will have to study every day otherwise you will not pass your exams.
Unwillingly	Even if you do it unwillingly, go and pay a visit to your grandfather.
Very	I am very late.
More and more	At the North of Paris, it snows more and more.
Less and less	He sees his friends less and less because of his work.
Half	He has gone half mad.
On the occasion of	On the occasion of his parents' thirty years' wedding anniversary, they went in holidays as a family.
By dint of	By dint of doing sports, he injured his knee.
Until	She waited in a cafe until his friend joined her.
Even if	Even if you are right, I am not sure you will be able to convince him.
Since	Since he works only three days a week, he has a lot of spare time.
For fear that	I always shut the shutters when I go out for fear a thief would get in by the window.
In accordance with	In accordance with what we had agreed on, I will work until three.
For example	You should clean your flat. For example, start with vacuum cleaning.
Password (j'ai traduit « messagerie » par « messagerie e-mail »)	After his e-mail box got hacked, he changed his password.
Code	From 8 p.m. onwards, you need a code to get in the building.
Friend	She is one of my best friends ; she is beautiful, funny and she is smart as well.
Awake	He has been awake since six a.m.
Prehistory	Prehistory is a period which taught relatively little in school.
Civilisation	Among contemporary civilisations, the Chinese civilisation is the most ancient.
To belong	All that are things which belonged to your grandfather.
To do push-ups	He is doing push-ups almost every day.
Enough	Students who did not work enough this year will not get scholarships next year.
Enough	He has already done half the work in barely a week but his boss thinks that it is not enough.
Close by	John and his brothers live together close to the city center.
Spanish	Half the French people I have met have Spanish.
French	Had he learnt French in his childhood, he would speak it fluently.
Chinese	Since he started learning Chinese as a boy, he speaks it fluently.
Russian	Try learning Russian, it is not that hard.
English	Many French people do not speak English very well.
Italian	Learning Italian is rather easy for French speakers.
Swahili	I am tempted to quit my Swahili class because I do not have the time.
Arabic	If I knew how to speak Arabic, I would travel to Middle-East.
Portuguese	By spending just a few months in Brazil, you would speak Portuguese fluently.
Japanese	I have been learning Japanese for two years and I still cannot read a newspaper.
German	Five of us learned German in my class.
French	Among your students, these ones are French while those ones are English.
English	In our dorm, there were two English tourists and an American people.
German	German cars have a very good reputation.
Russian	We are about to go to the Russian restaurant in front of my place.
Chinese	The Chinese district is farther than you think.
American	An American warship cruises in the open sea.
Arab	The Arab civilisation knew its peak in the Middle Ages.
Afghan	We have Afghan and Persian carpets, which ones would you like ? These ones.
Japanese	You will tell her to join us at the Japanese restaurant.
Italian	This Italian restaurant is better than what I thought.
Brazilian	He likes Brazilian cuisine a lot.
Portuguese	We went to this Portuguese restaurant last week.
English speaking	He went to live in an English speaking country for a year to learn English.
French speaking	He only travels in French speaking countries.
Spanish speaking	He sent his son to study in a Spanish speaking country for him to learn Spanish.
Spanish people	We Spanish eat late.
Foreign language	We French are not very gifted with foreign languages.
To cross someone's mind	Checking did not even cross my mind.
To be ashamed of	He is not even ashamed of what he has done.
To sadden	What a pity! It saddens me that you cannot come
To be windy	Since it is windy today, I would prefer us to stay inside.
Daylight	This work has to be done while there is still daylight.
???	You will tell him to come back home before night falls.
Thunder	There is going to be thunder tonight.
???	You would only need to study for a week to pass this selective exam.
To be urgent that	My sister told me that it was urgent for you to give her your phone number. Give it to her now.
Fencing	Their son is very gifted in fencing, he should enter competitions. I have already told them about it but they are against it.
Swimming	He started swimming when he was five.
ID	Since I did not have my ID with me, they did not let me in.
Forty	How old is he? He is getting on for forty and his wife is getting on for thirty.
Person in his/her forty	There were mostly persons in their forties at this party.
Thirtieth	He succeded to thirthieth in a class of forty people.
Fortieth	It is the fortieth anniversary of his death.
Thousandth	It is the thouthandth time I am telling you this.
Ill-mannered	How ill-mannered is he!
A few	A few thought about bringing something to eat but most of them had forgotten.
To gas up	When he left, he realized he forgot to gas up.
Chocolate	You can say what you like, you eat too much chocolate.
To know	Since I did not know he is around at the moment, I did not invite him.
To know	It is not enough to know your lesson by heart to pass this exam.
Breakfast	It is almost eight and you still did not go to buy croissants for breakfast.
To get ill	He must have gotten ill because of the rain.
To demolish	The foundations of the building have to be fixed otherwise it might demolish itself.
Let us hope (ici)	Let us hope that he did not forget his passport.
Provided that	We are going to hire a guide for this hike provided that it is a guide who can speak English.
But	They forbidded their son to go out but he did not obey.
So	I did not have enough money to eat lunch so I still have not eaten yet.
Because	He only eats soup because he is ill.
Fuel	Ask your brother if we need to buy more fuel for the lawn mower. He says no.
Neither … Nor	I have neither eaten nor drank for twelve hours.
How	How do you start this program?
Why	Why did not you let me know?
Which	Which one of your brothers is an engineer?
What	What movie did you prefer?
As long as (ici)	As long as he gets good marks in school, he can watch television.
How many	How many children do you have?
When	When did you go to Italy?
Where	Where is the car parked?
Where	Where did you go?
At least	You could at least call him for his birthday!
Little boy	How this liitle boy grew up!
Little girl	As she was done with her homeworks, the little girl went to play in the courtyard.
To be sleepy	I am sleepy, I think I will go to bed.
Sleep	The quality of my sleep has gotten a lot better in the last months.
To hum	He has been humming this song for more than two hours!
To drowse	He is drowsing on his chair.
Abstract	What you are saying is too abstract for me, give me an example.
Lighthouse	I recommand you not go and visit this lighthouse, it is not worth it.
Hill (ici)	I fell off my bike while I was biking down the hill.
Wet	I have forgotten to take an umbrella, as a result, I am all wet now.
Muzzle	My dog hurt his muzzle in a fight with other dogs.
…-shape	This is a pyramid-shaped sculpture.
Shape	I think you are in good shape these days.
Short story	He wrote numerous short stories in his youth.
To tease	She says that to tease you.
Cage	Put the rabbit back in its cage.
(cannon)Ball	The neighors found an old cannonball in their garden.
Back	Do not lean on the back of the chair, it is broken.
File	I do not know in what file I have put this video again.
File	We are preparing a file to enroll in university.
Suction cup (US)/pad (GB)	It holds to the wall thanks to a suction cup.
To bring closer	Bring the chair a bit closer to the table.
To come close	Come closer to the table please.
Chopstick	I do not manage to eat rice with chopsticks.
To be for (ici)	What is this button for?
To serve	Serve your brother and give me the dish.
Dish	We are preparing a dish for tonight.
Dish	Isn't this dish too big for the pie?
Episode	It is the third episode of the TV show.
Conditionner	Your hair is very dry you should use some conditionner.
Shampoo	I cannot find the shampoo anymore, tell me where you have put it.
Face-lift	She had a face-lift done.
Nail scissors	Where did you put the nail scissors?
Suspicious	They are very suspicious towards her.
To mistrust	I mistrust him.
To go without saying	This goes without saying.
Palliative care	Palliative care enable doctors to soothe a patient's pain during the last weeks of life.
Morgue (si institut médico-légal, sinon "mortuary")	The body has been taken to the morgue.
Idiomatic	This translation is too literal, you should be more idiomatic.
Pickpocket	Please be careful with your personnal belongings in order not to tempt the pickpockets.
Caster (ici)	The caster of the luggage are broken.
Handle	I bought a new door handle.
Flatmate	She has three flatmates.
???	They share an appartement between the five of them.
Flip	He can do back-flips very well, but struggles with front-flips
Sunni	Denominational clashes burst out between Sunnis and Shiites.
Shiite	Iran is a country with a Shiite majority.
Sperm	There is a sperm stain on the couch.
Spermatozoon	Spermatozoons can survive in the uterus for several days.
To ramble	She rambles all the time.
Ashtray	Where did you put the ashtray again?
Naked	Do come in the bathroom, I am naked.
Naturist	It is a naturist beach.
To get ripped off	You got ripped off again.
Rip off	Believe me, it is a rip off.
Anti-theft device	I never remember what is the code of the anti-theft device for my bike.
Turban	He was wearing a turban.
Circumcised	Is he circumcised?
Circumcision	Circumcision is not a very painful surgery.
Mutual insurance company	My mutual insurance company is very expensive.
Around	We are going to drive around with the car.
Case	I am going to put the guitar in its case to protect it during the trip.
Board	A board raised up.
Short circuit	The fire might have been caused by a short-circuit.
Word	I cannot remember the definition of this word.
Receipt	I forgot to ask him for the receipt.
Well-being	You should do more sports, it is a matter of well-being.
Anxiety	She has been living with a certain anxiety for several years.
???	You would better download the last version of Windows.
Serious	When I was younger, I was a serious student.
Coincidence	It cannot be a coincidence.
Breed	I did not know this breed of cats.
White out	Would you have some white out by any chance?
Correction pen	The correction pen does not seem to work anymore.
Compared to	Compared to him, his brother is very mature.
Pine needle	The terrace was covered with pine needles.
Stick insect	Stick insects are insect who look like twigs.
Metal detector	Due to security measures, all visitors should go through the metal detector.
Mobile phone	My mobile phone has been broken for three days.
Text	I did not see that you had sent me a text.
Email/E-mail	I have sent him an email yesterday which he has not answered yet.
Posture	Your posture is not good.
Pine cone	A pine cone fell just next to me.
Unreachable	I will probably be unreachable this weekend.
Syrup	Do you want grenadine syrup?
Sprint	He is very good at sprint.
Credibility	He lost all of his credibility.
Dwarf	He is watching "Snow White and the Seven Dwarves" in a continuous loop.
Expatriot	A lot of expatriots live in this neighborhood.
Werewolf	He metamorphoses into a werewolf at each full moon.
Oedema	He strained his ankle two weeks ago but the oedema did not resorbed itself completely yet.
Playground	The children were playing loudly in the playground.
Menopause	Menopause often begins around fifty.
Vocal cord	He got a vocal cord surgery.
Charger	Where did you put the charger of my mobile phone?
Black hole	Black holes are ancient stars which collapsed on themselves.
To get better	The economic situation looks like it gets better little by little.
Hospipe	The hospipe is pierced.
Bodyguard	He hired two bodyguards.
Last name	What is you last name?
Maiden name	After her marriage, she kept her maiden name.
Appendicitis	He just got an appendicitis surgery.
Peritonitis	He is at the hospital at the moment for a peritonitis.
Leukemia	He died of leukemia.
Succulent plant	Succulent plants have pulpy leaves to resist dryness.
To tell the truth	To tell the truth, I did not think about that.
Coin purse	Do not forget to take the coin purse.
Checkbook (US)/Chequebook (GB)	I have to go and fetch my checkbook before the bank closes.
Cap	I do not remember wher I have put my pen's cap
Several	Several people have been injured in the car accident.
Folder (ici)	I think I forgot a folder with important documents in it at your place.
Weight	The weight of the luggage should not exceed twenty kilograms.
Heavy goods vehicle	Heavy goods vehicles should not drive at more than 90km/H on this road.
Beauty	The beauty of the landscape struck the travellers.
Truth	Nobody knows the truth about this affair. 
Freedom	In a dictatorship, freedom of expression is limited.
Brotherhood	Liberty, equality, fraternity is the motto of the French republic.
Kindness	He did not help you out of kindness.
Wickedness	His wickedness had no limits. 
Elegance	His elegance impressed the assembly.
Difference	There is a big difference between the western and the asiatic culture.
Ideal	He has high ideals. 
Modernity	He was struck by the modernity of the underground.
Quality	The quality of his work was acknowledged by the jury. 
Amount	A significant amount of oil has spilt in the sea.
Cleanliness	He has been impressed by the cleanliness of his flat.
Handsome	He is a very handsome young man.
Tasty	His mother makes very tasty pies.
TRUE	Everything he said was true.
wrong	His calculations were wrong.
in bad taste	His joke was in bad taste.
bad	We did not go to the beach because the weather was bad.
wrong	He gave the wrong answer.
Ugly	This little dog is very ugly.
Fast	It is a fast car but it is hard to drive.
Slow	This truck is very slow.
Cold	It is very cold in his flat.
Hot	This dish is very hot.
High	The cat is too high, I cannot reach it.
Low	The level of the river is low because of the drought. 
Deep	The Marianas Trench is the deepest trench of the Pacific Ocean.
Superficial	His wound is only superficial.
Small	That's one small step for a man, one giant leap for mankind.
Tall	You brother is very tall.
Black	He always dresses in black.
White	I do not have any white shirt left.
Red	My hands are red because of the cold.
Blue	He is wearing a blue shirt. 
Green	I have a green car.
Yellow	The milk had turned yellow. 
Gray	The sky is grey due to the pollution. 
Purple	What is this purple flower called? 
Nasty	Be careful, this dog is nasty.
Kind	He is kind only when he needs you.
Young	He travelled a lot when he was young.
Old	I am too old to travel.
Narrow	I lost myself in the narrow alleys of the old city.
Wide	The road is wide enough for two cars.
Long	The trip was too long, I am exhausted. 
Short	My stay here whas been too short, I have to come back.
Beautiful	She is very beautiful but she does not realize it.
Pretty	She bought a pretty dress.
Useful	This swiss knife is very useful when you travel. 
Useless	This language class is completely useless.
Easy	This exercice is very easy. 
Tough	Exams were rather tough this year.
Simple	The most efficient solutions are often the simplest ones.
Complex	He has a complex personnality which is what makes him charming.
Strange	The hamster has been behaving strangely these last few days. 
Obvious	The solution was obvious, it really jumped out at you. 
Amusing	He is amusing but he does not realise it.
Funny	It's funny I cannot remember him. 
Enjoyable	The situation was enjoyable.
Excellent	He is an excellent pupil, but he does not want to study. 
Mediocre	This teacher is mediocre but we have no choice. 
Old	The offices of the company are located in an old building.
New	He is a new author.
Quiet	Children are more quiet after a nap. 
Crazy	This man looks crazy.
Beige	He was wearing a beige pair of trousers and a white shirt. 
Mauve	The wallpapers of his house are mauve. 
Brown	He has brown eyes.
Orange	The houses of this village had orange doors.
Transparent	The water of this river is almost transparent. 
Coloured	He wears very coloured clothes.
Dull	The drawing was a little bit dull.
Dark	Night is falling, the street is dark.
Impossible	It is impossible to work in these conditions.
Fair	He had a fair skin despite his holidays at the beach. 
Obvious	It was obvious that he was lying.
Delicious	This cake is delicious.
Stylish	This black dress suits you well, you are very stylish.
Pleasant	He lives in a pleasant house on the seashore. 
Nasty	My stepmother is particularly unpleasant. 
Charming	He knows how to be charming when he wants to be.
Fatal	A fatal accident occured on the motorway. 
Magnificent	This painting is magnificent.
Original	This is an original project. 
Efficient	To be efficient, you have to be motivated.
Unefficient	He is very unefficient when he does not sleep
Gifted	He is very gifted in mathematics.
Exceptionnal	He is an exceptionnal artist who has a bright future ahead of him. 
Awful	Something aweful happened.
Impressive	Your sister was impressive during the tennis game.
Unbearable 	Your son is really unbearable.
Vulgar	This dress is vulgar.
Clean	This shirt is clean.
Own	He took his own car.
Dirty	The flat is dirty, it should be cleaned up.
Famous	This restaurant is among the most famous in Paris
Short	His speech was short, but the success was thundering.
Absurd	Wanting to take the driver's licence exam without being ready is absurd. 
Different	He is not that different from the other ones. 
Outrageous	The organisation of this university is outrageous. 
Burnt	You left the pie in the oven for too long, it is completely burnt now.
Piping hot	Be careful, this dish is piping hot.
Raw	Do you prefer onions raw or cooked?
Cooked	This chicken is overcooked, it is inedible.
Fertile	This soil is very fertile, the harvest will be good;
Sterile	His sister is sterile, she cannot have children.
Heavy	This bag is very heavy, could you help me?
Light	Your suitcase is light, let me carry it for you. 
Frequent	Your absences are too frequent.
Rare	It is a very rare species, it should be protected.
Ridiculous	Your shirt is ridiculous.
Next	I am visiting my family next month.
Last	It is the last time I am travelling by bus.
Powerful	A powerful explosion woke up the neighboorhood. 
Powerless	He is helpless faced with this situation. 
Possible	He thiks he passed this exam. Its is possible but not very likely. 
Likely	His success is likely. 
Periodic	Swallows come back periodically.
Precious	Patience is a precious virtue
Private	It is a private property, it is forbidden to enter.
Public	Smoking is forbidden in public places.
Sure	I am sure I have locked the door.
Regular	Practicing sport regularly bears more fruit than practicing sport intensively.
Rustic	The comfort of this house is a bit rustic, but one gets used to it.
Flat	The Netherlands is a flat country.
Snobbish	They are very snobbish people.
Thin	I am not thin enough for this dress.
Agile	This acrobat is very agile.
Exhausting	This job is very exhausting, I will change jobs soon.
Unique	This kid is unique.
Feminine	She listens to her feminine intuition too much. 
Masculine	She is a very masculine girl.
Instinctive	Maternal love is instinctive.
Absolute	He just broke an absolute record.
Virgin	He remained a virgin until the day he got married. 
Ordinary	He leads a very ordinary life.
Extraordinary	She has an extraordinary ability to forget everything.
Quickly	He came quickly after his work.
Slowly	Better to drive slowly but carefully.
Suddenly	Suddenly, the bus pulled up. 
Mainly	I came mostly to see you.
Most of the time	Most of the time, he goes out on Saturday nights.
Enough	Have you eaten enough?
Rather	We are rather busy these days.
Quite	He is quite introverted.
Seldom	He seldom visits his parents.
Often	He often takes the bus to come.
Always	You always have to double lock the door in this neighborhood.
Never	We never went on holidays.
From times to times	I go to the cinema from times to times.
A lot	He travelled a lot when he was young.
Little	You work little, but you earn a lot of money.
Generally	Generally, we go to bed before midnight.
Now	I am going shopping now.
Yesterday	I went to the garden with the kids yesterday.
Today	Today, I have nothing special to do.
Tomorrow	We will talk about that tomorrow.
Later	We will meet later.
Finally	My letter has finally arrived.
Constantly	She is constantly moaning.
already	He has already been to Mexico.
Far	He lives far from downtown.
Close	It happened next to our house.
Less	You are less available than before.
More	The more I think about it, the more I am satisfied with my choice.
Elsewhere	Go read somewhere else, the girl needs to sleep.
Almost	He has almost finished his meal.
Too	We arrived too late, we could not get in.
Also	He too wants to join the project.
Together	They are going to the cinema together tomorrow.
Behind	The dog is burried behind the house.
Over	He looked for his jacket in the wardrobe but he did not thought about looking over it.
Underneath	My book is no longer on the table, he might have fallen underneath it. 
On	Do not let the cat walk on the table.
Between	The bank is between the chemist and the bus stop.
Before	He arrived an hour before the show.
After	Your brother will come after lunch.
Next to	The plates are next to the glasses.
Only	We only have two children.
Really	Do you really want to go to the cinema?
Then	He came by for a bit and then he left.
Under	The sponges are under the sink.
About	Speaking about your studies, how did your exams go?
Even	He works even when he is ill.
Out of	The kids left the toys out of the box.
Inside	The cat stays inside the house all day long.
Out	The kids are playing outside.
Inside	Come inside, it is freezing cold outside.
In	The rice is in the fridge.
Regularly	She comes regularly to give him French lessons.
Easily	He forgives easily but he never forgets.
Recently	The debt crisis has recently gotten worse. 
Wisely	He has planned his work wisely. 
Possibly	I can possibly come this weekend if you want to.
Merrily	I go to work merrily on Mondays.
Immediately	Immediatly after the elections, he went on holidays.
Completely	I completely forgot to bring you back your book.
Violently	After having spoken to him violently, he apologized.
Firmly	He bound the boles together firmly with a rope. 
Politely	I answered him politely but firmly.
Honestly	Honestly, do you think your opinion will change anything?
Simply	His son simply dropped university. 
Periodically	Crickets periodically devastate crops.
Potentially	The situation could potentially go out of control.
Obviously	They obviously did not answer the provocation.
Calmly	He calmly did his calculations again from the beginning.
Long	They spoke yesterday evening for a long time and they have patched things up. 
Widely	The country widely suffered from the economic crisis.
Surely	There surely is a better explanation.
Naturally	Naturally, he did not do what he was asked to.
Precisely	It is precisely for this reason that I did not come.
Mechanically	He does this movement mechanically.
Efficiently	He works more efficiently on Mondays.
Seriously	Listen to me, I am talking to you seriously.
Horribly	He is horribly full of himself.
Generously	He distributed his lands generously.
Instinctively	The mother protects her child instictively.
Panther	I think I saw a panther.
Antelope	The antelope scampered at the sight of the lion.
Guinea pig	The Guinea pig is a rodent.
Hamster	The hamster is biting the bars of its cage.
Flamingo	Pink flamingos can live in extreme conditions.
Rabbit	The rabbit ran over in its burrow.
Hare	The hare was blinded by the headlights.
Squirrel	The squirrel jumped out from the tree.
Goose	The goose rushed at the little boy.
Turkey	The turkey clucked when it saw the turkey cock.
Turkey	The turkey was eaten yesterday night
Doe	The doe is in alarm. 
Deer	The deer is being chased by the dogs.
Fawn	The fawn suckles from its mother.
Hyena	The hyena giggled loudly.
Dromedary	Dromedaries have one bump while camels have two.
Scorpio	A scorpio sting can be deadly.
Hedgehog	The hedgehog curled up to protect himself. 
Turtle	The turtle put its head back into its carapace.
Kangaroo	Kangaroo leaps can reach up to 13 meters.
Koala	Koalas are very dependent upon eucalyptus leaves for their survival.
Perch	The Nile perch made many fishes disappear recently.
Carp	The carp is a common fish of our rivers.
Trout	Trouts are freshwater fish. 
Goldfish	The goldfish has been eaten by the cat.
Mite	Your canari is full of mites, you should treat it.
Triton	The triton went out of the pond.
Leech	Leeches have a particularly developed sense of smell. 
Vulture	Vultures use updrafts to move.
Tuna	Red tuna is intensively fished.
Salmon	Do you want to take another slice of salmon?
Crab	This crab has a claw which is bigger than its other one. 
Shrimp	Do you also eat the head of the shrimp? 
Shell	Your son is gathering shells on the beach. 
Snail	The snail went out of its shell. 
Starfish	The little girl threw the starfish away into the sea.
Mold	Mussels are eaten with French fries in Belgium. 
Oyster	Oysters are eaten alive.
Octopus	The octopus released some ink to make its escape easier. 
Bug	A crushed bug emits a strong smell.
Chameleon	The chameleon shifted colour once more.
Eel	Eels can move on dry land.
Horsefly	Horseflies stings are very painful.
Praying mantis	Praying mantis eat their male after mating.
Moth	The flat is full of moths, clothes have been eaten up.
Canary	The canary has been refusing to sing for weeks. 
Crow	The crow coaked loudly. 
Raven	The raven held a piece of cheese in his beak. 
Heron	The heron is perched in the tree. 
Owl	The owl hooted all night long.
Owl	The owl spit a ball. 
Albatross	The albatros can fly over large distances. 
Seagull	The seagull landed on a rock.
Chimpanzee	The chimpazee is making faces.
Otter	The otter is sensitive to river pollution.
Raccoon	The raccoon washes its food before eating it. 
Silk-worm	The silk-worm was plunged into boiling water.
Anchovy	I would like a pizza with achovies, please.
Sardine	A school of sardines has been spotted by a helicopter. 
Squid	Squids are a typical dish of southern France.
Sole	The sole is a fish which merges with sand. 
Ray	The tail of the ray can contain a lethal venom.
Mollusc	Snails and slugs are molluscs.
Marsupial	Marsupials live mostly in Australia.
Marine mammal	Dolphins are not fishes but marine mammals.
Sea urchin	He has three ursin stings in the foot.
Mongoose	The mangoose finally killed the cobra.
Beak	The crow opened the walnut with its beak.
Jackal	Jackals live in small groups.
Millipede	Millipedes cross the road carefully
Centipede	Centipedes live in the litter.
Tarantula	Tarentulas are eaten in Southeast Asia.
Crustacean	Crabs and shrimps are crustaceans.
Cod	Cods are victims of overfishing.
