English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
line	linha	Read this line.	Gazprom, Russia’s giant state-owned energy company, is slated to finalize an agreement in 2022 for a second huge natural gas pipeline running from Siberia to China, marking yet another stage in what energy analysts and Western diplomats say is a fast-evolving gas pivot to Asia by Moscow	Leia esta linha.	A Gazprom, a gigantesca empresa energética estatal da Rússia, deverá finalizar um acordo em 2022 para uma segunda enorme linha de gás natural que vai da Sibéria à China, marcando mais uma etapa naquilo que os analistas energéticos e diplomatas ocidentais dizem ser uma reorientação do gás, em rápida evolução, para a Ásia por parte de Moscovo
linguistic	linguística	This book is not about linguistics.	Linguistic prejudice comes from a nonsensical notion about what is right and wrong in a language. People that lean on this idea of superiority are as ignorant as those that refuse to acknowledge a language's evolution and enrichment. This rude attitude can be seen in many forms, but it's mostly seen in lesser-developed people. It can also be found in lots of other places: the television, the radio, in language-learning sites...and the problem will never be fixed as long as someone's way of speaking is worth more than their character.	Este livro não trata de linguística.	 São identificados em vários lugares, também: na televisão, no rádio, em sítios de aprendizagem linguística
link	link	I clicked the link.	If you know someone who wants to learn Berber, please share this link with them	Eu cliquei no link.	Se você conhece alguém que quer aprender berber, por favor compartilhe este link com ele
lion	leão	I see a lion.	Aslan the wise lion heard bad news from his doctor	Vejo um leão.	Aslan o sábio leão obteve uma má notícia de seu médico
lip	lábio	I bit my lip.	But if you look close enough into the grooves and onto the lip of the Cup, you will see that players started to scratch and engrave their names into it	Mordi meu lábio.	Mas quem olhar com atenção suficiente para os sulcos e para o lábio da Taça, poderá notar que os jogadores começaram a arranhar e gravar os seus nomes nela
lipstick	batom	I'm putting on lipstick.	After being sworn in Wednesday as Raigarh's mayor, Kinnar — wearing a white sari and pink lipstick, with a large red bindi decorating her forehead — was greeted by cheering supporters who placed marigold garlands around her neck, television footage showed	Estou passando batom.	Depois de tomar posse como presidente da câmara de Raigarh na quarta-feira, Kinnar — usando um sari branco e batom rosa, com um grande bindi vermelho a decorar a testa — foi recebida por apoiantes aplaudentes que colocaram guirlandas de tagetes à volta do seu pescoço, conforme mostraram gravações televisivas
liqueur	licor	I like anise liqueur.	Umeshu is a Japanese liqueur made from plums	Gosto de licor de anis.	Umeshu é um licor japonês feito de ameixa
liquid	líquido	Water is a liquid.	Service is required when the apparatus has been damaged in any way, such as power-supply cord or plug damaged, liquid has been spilled or objects have fallen into the apparatus, this apparatus has been exposed to rain or moisture, does not operate normally, or has been dropped	A água é um líquido.	A manutenção é necessária quando o aparelho foi danificado de alguma forma, como cabo de alimentação ou plugue danificado, líquido derramado, queda de objetos dentro do equipamento, exposição à chuva ou umidade, mau funcionamento ou queda
list	Lista				
liter	litro	Gasoline is sold by the liter.	I live in a country where a liter of petrol is cheaper than a liter of water	A gasolina é vendida por litro.	Vivo num país onde o custo de um litro de petróleo é mais barato que um litro de água
literature	literatura	I study Latin literature.	For the international language, the basic foundation represents that material which was, for every modern language, at the beginning of normal written literature	Eu estudo literatura latina.	Para a língua internacional, o fundamento representa aquele material com que contou toda língua moderna no início de uma literatura escrita regular
little	pequena	I'm small.	U.S. and NATO military commanders in Afghanistan are reportedly developing plans to deploy a NATO military force in Afghanistan this year designed to assume a training mission in 2015, but small and nimble enough to be withdrawn if the Afghan government does not sign a Bilateral Security Agreement (BSA) that lays out conditions for NATO’s continued security presence in the country.	Eu sou pequena.	Os comandantes militares dos EUA e da OTAN no Afeganistão estão aparentemente a desenvolver planos para destacar uma força militar da OTAN para o Afeganistão este ano, concebida para assumir uma missão de treino em 2015, mas suficientemente pequena e dinâmica para ser retirada se o governo afegão não assinar um Acordo Bilateral de Segurança (ABS) que estabeleça os termos para a presença continuada da OTAN no país no domínio da segurança
liver	fígado	Alcohol damages the liver.	Tantalus, in spite of his thirst, stopped for a moment his efforts for water, Ixion's wheel stood still, the vulture ceased to tear the giant's liver, the daughters of Danaus rested from their task of drawing water in a sieve, and Sisyphus sat on his rock to listen	O álcool causa danos ao fígado.	O Tântalo, apesar da sua sede, interrompeu por um momento os seus esforços para obter água, a roda do Íxion deteve-se, o abutre cessou de dilacerar o fígado do gigante, as filhas do Dánao descansaram da sua tarefa de recolher água em peneiras e o Sísifo sentou-se na sua rocha para ouvir
lizard	lagarto	A giant lizard is destroying the city!	How could that fish have a lizard in its stomach?	Um lagarto gigante está destruindo a cidade!	Como aquele peixe teria um lagarto no estômago?
loan	empréstimo	I need a loan.	The court ruled that the mayor's decision to use public funds to make a loan to assist a local business, which shortly afterward declared bankruptcy, had been within the scope of the mayor's discretionary powers in the normal discharge of his duties	Eu preciso de um empréstimo.	O tribunal deliberou que a decisão do presidente da câmara de utilizar fundos públicos para fazer um empréstimo para ajudar um negócio local, que pouco tempo depois declarou falência, estava no âmbito dos poderes discricionários do presidente da câmara no cumprimento normal das suas funções
lobby	salão	He entered the hall of fame.	In the parlor lay Matthew Cuthbert in his coffin, his long gray hair framing his placid face on which there was a little kindly smile as if he but slept, dreaming pleasant dreams.	Ele entrou para o salão da fama.	No salão estava Matthew Cuthbert deitado no seu caixão, o seu longo cabelo cinzento emoldurando o seu rosto plácido no qual havia um pequeno sorriso simpático como se ele apenas dormisse, sonhando sonhos agradáveis
lobster	lagosta	I like lobster.	You eat lobster for Christmas? Are you serious?	Eu gosto de lagosta.	Vocês comem lagosta no Natal? Estão falando sério?
local	local	This is a nice spot.	In a sunny spot stood a pleasant old farm-house close by a deep river, and from the house down to the water side grew great burdock leaves, so high, that under the tallest of them a little child could stand upright. The spot was as wild as the centre of a thick wood. In this snug retreat sat a duck on her nest, watching for her young brood to hatch; she was beginning to get tired of her task, for the little ones were a long time coming out of their shells, and she seldom had any visitors.	Este é um local agradável.	 O local era tão selvagem quanto o interior de um denso bosque
lock	trancar	I'll lock the door.	It is an act of cruelty to lock a small child in his room	Vou trancar a porta.	É um ato de crueldade trancar uma criança pequena no quarto dela
lock	trancar	I'll lock the door.	It is an act of cruelty to lock a small child in his room	Vou trancar a porta.	É um ato de crueldade trancar uma criança pequena no quarto dela
Locksmith	Chaveiro				
locomotive	locomotiva	The train's bell rings, the whistle blows, the headlight comes on and the engine eventually takes off, pulling a passenger car loaded with a green cat, a yellow bear, a purple rabbit and a yellow dog with red ears.	The train's bell rings, the whistle blows, the headlight comes on and the engine eventually takes off, pulling a passenger car loaded with a green cat, a yellow bear, a purple rabbit and a yellow dog with red ears.	O sino do comboio toca, o assobio apita, o farol acende-se e a locomotiva acaba por arrancar, puxando um vagão de passageiros embarcado por um gato verde, um urso amarelo, um coelho roxo e um cão amarelo com orelhas vermelhas.	O sino do comboio toca, o assobio apita, o farol acende-se e a locomotiva acaba por arrancar, puxando um vagão de passageiros embarcado por um gato verde, um urso amarelo, um coelho roxo e um cão amarelo com orelhas vermelhas
log	registro	No person by that name is listed in the register of the school.	Blind chess is a type of chess in which a chess player makes his moves without seeing the board and without making any written record. Therefore, he has to keep all the positions of the game exclusively in his memory.	Nenhuma pessoa com esse nome está listada no registro da escola.	Xadrez às cegas é uma modalidade de xadrez em que um enxadrista faz seus lances sem ver o tabuleiro e sem fazer qualquer registro escrito, devendo, portanto, manter todas as posições da partida exclusivamente na memória
logic	lógica	Logic has no place here.	The logician as such, with his predilection for water-tight compartments in the realm of ideas, is not concerned with what to me as a linguist seems a most important question, viz	A lógica aqui não tem lugar.	O perito em lógica enquanto tal, com a sua predileção por compartimentos herméticos no reino das ideias, não se preocupa com o que me parece ser a questão mais importante como linguista, ou seja, como explicar que uma sequência de sons sem qualquer significado de repente de não-conotativa se torne conotativa e que este novo e pleno significado seja imediatamente aceite por toda a comunidade falante?
logical	lógico	It's not logical.	Founded by the Paris logician Couturat with help from the Esperantists, it collected signatures from numerous groups approving the idea of an auxiliary language.	Não é lógico.	Fundada pelo lógico parisiense Couturat com a ajuda de esperantistas, a delegação colheu as assinaturas de numerosas entidades que aprovavam a ideia de uma língua auxiliar
logistic	logística				
loneliness	solidão	Some people enjoy solitude.	Only the assumption that the reader - I better say: the prospective reader, because for the moment there is not the slightest prospect, that my writing could see the lights of publicity, - unless it miraculously left our endangered fortress Europe and brought a hint of the secrets of our loneliness to those outside; - I beg to be allowed to begin anew: only because I anticipate the wish to be told casually about the who and what of the writer, I send some few notes on my own individuum out before these openings, - of course not without the awareness that exactly by doing so I might provoke doubts in the reader, that he is in the right hands, which is to say: if I, from all my being, am the right man for a task to which maybe the heart pulls me more than any qualifying relation in character	Algumas pessoas gostam de solidão.	Somente o pressuposto de que o leitor - ou melhor dizendo, o provável leitor, porque até o momento não há a menor perspectiva dos meus textos verem a luz da publicidade - a menos que miraculosamente deixassem a nossa ameaçada fortaleza Europa e levassem um sinal dos segredos da nossa solidão àqueles lá fora; - rogo que me permitam recomeçar: somente porque antecipo o desejo de serem informados casualmente sobre o quem e o quê do autor, envio algumas poucas notas a respeito de meu próprio indivíduo antes destas aberturas - claro, não sem a consciência de que exatamente ao fazê-lo posso provocar dúvidas no leitor, de que está nas mãos corretas, ou seja: se eu, em todo meu ser, sou o homem correto para um trabalho ao qual talvez o coração me atraia mais do que qualquer relação qualificante em caráter
long	grandes	They are big.	In general the physical and mental form of conscious beings is an expression of the character of the planet on which they live. On certain very large and aqueous planets, for instance, we found that civilization had been achieved by marine organisms. On these huge globes no land-dwellers as large as a man could possibly thrive, for gravitation would have nailed them to the ground. But in the water there was no such limitation to bulk. One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface. Thus they were usually covered by a shallow ocean, broken here and there by archipelagos of small, low islands.	Eles são grandes.	 Em certos planetas muito grandes e aquosos, por exemplo, descobrimos que a civilização tinha sido realizada por organismos marinhos
long	grandes	They are big.	In general the physical and mental form of conscious beings is an expression of the character of the planet on which they live. On certain very large and aqueous planets, for instance, we found that civilization had been achieved by marine organisms. On these huge globes no land-dwellers as large as a man could possibly thrive, for gravitation would have nailed them to the ground. But in the water there was no such limitation to bulk. One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface. Thus they were usually covered by a shallow ocean, broken here and there by archipelagos of small, low islands.	Eles são grandes.	 Em certos planetas muito grandes e aquosos, por exemplo, descobrimos que a civilização tinha sido realizada por organismos marinhos
long	grandes	They are big.	In general the physical and mental form of conscious beings is an expression of the character of the planet on which they live. On certain very large and aqueous planets, for instance, we found that civilization had been achieved by marine organisms. On these huge globes no land-dwellers as large as a man could possibly thrive, for gravitation would have nailed them to the ground. But in the water there was no such limitation to bulk. One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface. Thus they were usually covered by a shallow ocean, broken here and there by archipelagos of small, low islands.	Eles são grandes.	 Em certos planetas muito grandes e aquosos, por exemplo, descobrimos que a civilização tinha sido realizada por organismos marinhos
longboat	escaler				
longitude	longitude	In the 19th century a navigator wanting to know the ship's longitude needed to know the time, which was kept on board the ship by a chronometer.	North Korea's military Monday threatened South Korea's major conservative media outlets, saying its soldiers had entered the latitude and longitude coordinates of their Seoul headquarters for possible attack	No século XIX, um navegador que quisesse saber a longitude do navio precisava de saber as horas, que eram contadas a bordo do navio por um cronómetro.	As forças armadas da Coreia do Norte ameaçaram na segunda-feira os principais meios de comunicação conservadores da Coreia do Sul, afirmando que os seus soldados tinham assinalado as coordenadas de latitude e longitude das suas sedes em Seul para um possível ataque
lose	perder	I'll lose.	This thought, that a man may forfeit his rights, is as essential to proper conceptions of civil government, and civil liberty, as the thought that a man has rights; for if there be no forfeiture of rights through crime, then all legal punishments are without foundation in justice; even the right of self-defense, individually and nationally, ceases to exist.	Vou perder.	Esta ideia, de que um homem pode perder os seus direitos, é tão essencial para conceções adequadas de governo civil e liberdade civil, como a ideia de que um homem tem direitos; pois se não houver perda de direitos através do crime, então todas as punições legais carecem de fundamento na justiça; mesmo o direito de autodefesa, individual- e nacionalmente, deixa de existir
lose	perder	I'll lose.	This thought, that a man may forfeit his rights, is as essential to proper conceptions of civil government, and civil liberty, as the thought that a man has rights; for if there be no forfeiture of rights through crime, then all legal punishments are without foundation in justice; even the right of self-defense, individually and nationally, ceases to exist.	Vou perder.	Esta ideia, de que um homem pode perder os seus direitos, é tão essencial para conceções adequadas de governo civil e liberdade civil, como a ideia de que um homem tem direitos; pois se não houver perda de direitos através do crime, então todas as punições legais carecem de fundamento na justiça; mesmo o direito de autodefesa, individual- e nacionalmente, deixa de existir
loser	perdedor	I'm a loser.	Tom just called me a loser	Eu sou um perdedor.	O Tom acabou de me chamar de perdedor
lottery	loteria	I won the lottery.	Tom and Mary argued about how to spend the money they had won in the lottery	Eu ganhei na loteria.	Tom e Mary discutiram sobre como gastar o dinheiro que eles tinham ganhado na loteria
loudly	ruidosamente	Many atheists are stridently anti-religion.	Many atheists are stridently anti-religion.	Muitos ateus se manifestam ruidosamente contra a religião.	Muitos ateus se manifestam ruidosamente contra a religião
love	amor	Love hurts.	 Have love for your own language	O amor machuca.	 Tenha amor por sua própria língua
low	baixo	Tom is short.	Wearing a bright teal headband and a black-and-white dress, 12-year-old Yolanda Renee King adjusted the microphone lower and glanced sideways at her father, smiling nervously	O Tom é baixo.	Trazendo uma fita verde-azulada clara e um vestido preto e branco, Yolanda Renee King, de 12 anos, ajustou o microfone mais para baixo e lançou um olhar para o lado para o seu pai, sorrindo nervosamente
Lozenge	Pastilha				
lucidity	lucidez	The technique incorporates body relaxation, breathing regulation, mental imagery and mindfulness training which, in previous studies, has been shown to improve attention, emotion, and social behaviors.	The technique incorporates body relaxation, breathing regulation, mental imagery and mindfulness training which, in previous studies, has been shown to improve attention, emotion, and social behaviors.	A técnica incorpora o relaxamento corporal, a regulação respiratória, a imagética mental e o treino da lucidez que, em estudos anteriores, demonstraram melhorar a atenção, as emoções e os comportamentos sociais.	A técnica incorpora o relaxamento corporal, a regulação respiratória, a imagética mental e o treino da lucidez que, em estudos anteriores, demonstraram melhorar a atenção, as emoções e os comportamentos sociais
lucky	afortunado	I'm fortunate compared to Tom.	I'm fortunate compared to Tom.	Eu sou afortunado comparado a Tom.	Eu sou afortunado comparado a Tom
lucky	afortunado	I'm fortunate compared to Tom.	I'm fortunate compared to Tom.	Eu sou afortunado comparado a Tom.	Eu sou afortunado comparado a Tom
lukewarm	morno	It's still warm.	She wants to drink some warm milk.	Ainda está morno.	Ela quer beber um pouco de leite morno
lull	calmaria	The rains entered a lull.	It was the calm before the storm.	A chuva deu entrada a uma calmaria.	Isso era a calmaria antes da tormenta
lullaby	canção de ninar				
Lumbago	Lumbago				
lunch	almoço	It's lunch time.	The lady of honor, being as sharp set as the other folks, grew very impatient, and told the Princess aloud that the meal was served.	É hora do almoço.	A dama de honra, tão faminta quanto os outros, ficou muito impaciente e disse à princesa em voz alta que o almoço estava servido
lung	pulmão	He's got lung cancer.	Inside the chest, there are the heart and the lungs	Ele tem câncer de pulmão.	Dentro do peito, existem o coração e o pulmão
luxurious	luxuoso	A cheerful ray of sun draws shadows on the window sill of a private room prepared for the next terminally ill patient at upscale Wits Hospice in Houghton, Johannesburg.	A cheerful ray of sun draws shadows on the window sill of a private room prepared for the next terminally ill patient at upscale Wits Hospice in Houghton, Johannesburg.	Um alegre raio de sol desenha sombras no parapeito da janela de um quarto privado preparado para o próximo doente terminal no luxuoso Hospício Wits em Houghton, Joanesburgo.	Um alegre raio de sol desenha sombras no parapeito da janela de um quarto privado preparado para o próximo doente terminal no luxuoso Hospício Wits em Houghton, Joanesburgo
luxury	luxo	He lives in luxury.	Advertisements for luxury goods are banned and it’s riskier than ever for officials to flaunt their wealth	Ele vive no luxo.	Os anúncios de bens de luxo foram banidos e é mais arriscado do que nunca os funcionários ostentarem a sua riqueza
lymph	linfa				
Macaque	macaco	It's monkey meat.	Four leopard cubs, a bear cub, a monkey, and a red-cheeked gibbon were found sedated and packed into small cages.	É carne de macaco.	Quatro crias de leopardo, uma cria de urso, um macaco e um gibão-de-bochechas-amarelas foram encontrados sedados e guardados em jaulas pequenas
mach	mach				
machete	facão	Tom was armed with a machete.	Tom hacked Mary's leg off with a rusty machete	Tom estava armado com um facão.	Tom cortou a perna de Maria com um facão enferrujado
machine	máquina	I bought a camera.	China's Finance Ministry released a list of 16 items spread across two lists that would not be subjected to additional tariffs, including shrimp, industrial grease, an advanced cancer fighting machine, lubricating oil and various other chemicals	Comprei uma máquina fotográfica.	O Ministério das Finanças da China divulgou uma lista de 16 itens repartidos por duas tabelas que não estarão sujeitos a tarifas adicionais, incluindo camarão, graxa industrial, uma máquina de combate a cancros avançados, óleo lubrificante e vários outros produtos químicos
mafia	máfia	I take part of the alphabet mafia.	I take part of the alphabet mafia	Eu sou parte da máfia do alfabeto.	Eu sou parte da máfia alfabética
maghreb	maghreb				
magic	Magia				
magical	mágico	It was magic.	 Yances evoke a mysterious interplay between past and present, reality and fantasy, a style called magical realism	Foi mágico.	 Yances evocam uma misteriosa interação entre o passado e o presente, a realidade e a fantasia, um estilo chamado realismo mágico
Magician	Mágico				
magma	magma	The screams are harmonic tremors, and researchers at the University of Washington believe they are caused when magma is forced through a narrow conduit at greater and greater pressure into the heart of the volcano.	The screams are harmonic tremors, and researchers at the University of Washington believe they are caused when magma is forced through a narrow conduit at greater and greater pressure into the heart of the volcano	Os gritos são tremores harmónicos e os investigadores da Universidade de Washington acreditam que eles são produzidos quando o magma é forçado através de uma chaminé estreita a uma pressão cada vez maior para o interior do coração do vulcão.	Os gritos são tremores harmónicos e os investigadores da Universidade de Washington acreditam que eles são produzidos quando o magma é forçado através de uma chaminé estreita a uma pressão cada vez maior para o interior do coração do vulcão
magnesium	magnésio	Magnesium is a chemical element.	Magnesium is a chemical element.	O magnésio é um elemento químico.	O magnésio é um elemento químico
magnificent	magnífico	Tom is magnificent.	Those clothe with awe / the Senate; there they choose the judges for the law. / These delve the port; the broad foundations there / they lay for theatres of ample space, / and columns, hewn from marble rocks, prepare, / tall ornaments, the future stage to grace.	Tom é magnífico.	 / Aqui se draga o porto, ali se assentam / profundos alicerces para um teatro, / ou se talham do mármore colunas / imensas destinadas a adornar / o magnífico palco projetado
mahogany	mogno				
main	a Principal				
mainly	principalmente	Success depends mostly on effort.	Linguistic prejudice comes from a nonsensical notion about what is right and wrong in a language. People that lean on this idea of superiority are as ignorant as those that refuse to acknowledge a language's evolution and enrichment. This rude attitude can be seen in many forms, but it's mostly seen in lesser-developed people. It can also be found in lots of other places: the television, the radio, in language-learning sites...and the problem will never be fixed as long as someone's way of speaking is worth more than their character.	O sucesso depende principalmente do esforço.	 Essa atitude grosseira pode ser notada de várias formas, mas é observada principalmente em direção aos povos menos desenvolvidos
maintenance	manutenção	The system is under maintenance.	President Salva Kiir has said more foreign troops to complement U.N. peacekeepers are not necessary; but Goi Yooyul Yol, the opposition’s representative to Ethiopia and the African Union, says a buffer force is needed to separate government forces and those of the opposition, known as the SPLM-IO.	O sistema está em manutenção.	O Presidente Salva Kiir disse que não são necessárias mais tropas estrangeiras para complementar as forças de manutenção da paz da ONU; mas Goi Yooyul Yol, representante da oposição na Etiópia e na União Africana, diz que é necessária uma força moderadora para separar as forças governamentais das da oposição, conhecida como o MPLS-O
major	formar-se				
majority	maioria	Most people agree.	 We very much wish, in fact, that one day Esperanto could be accepted by the majority of the nations, as a language adopted to facilitate communication without linguistic privileges	A maioria das pessoas concorda.	 Ansiamos para que, de fato, algum dia, o esperanto possa ser aceito pela maioria das nações como língua adotada para facilitar a comunicação sem privilégios linguísticos
make	faço	Beats me.	Every time I make small talk, I feel the cold hand of death on my shoulder, and the inherently depressing and painful existence that humankind is so mercilessly subjected to	Não faço ideia.	Toda vez que eu faço conversa fiada, eu sinto a gelada mão da morte sobre meu ombro
maker	criador	Tom is a dog breeder.	"Pekka Ervast, the author of ""The Key to the Kalevala"", says that the lord and the creator of the world was called Kaleva, and that, as a substantive noun, Kalevala means ""the home of the Creator or the Lord"", meaning the higher planes of life or the higher zones of unseen world."	Tom é um criador de cães.	"Pekka Ervast, autor de ""A Chave do Kalevala"", diz que o senhor e criador do mundo era chamado Kaleva, e que, como um substantivo, Kalevala significa ""a casa do Criador ou Senhor"", isto é, os planos mais elevados da existência ou as regiões superiores do mundo invisível"
Malaria	Malária	April 25th is World Malaria Day.	April 25th is World Malaria Day	Vinte e cinco de abril é o Dia Mundial da Malária.	Vinte e cinco de abril é o Dia Mundial da Malária
mall	Shopping	Do you know any buses that pass in front of Shopping Via Sul?	Could you please tell me if there are any buses passing in front of Shopping IGUATEMI?	Você conhece algum ônibus que passa em frente ao Shopping Via Sul?	Você poderia por favor me dizer se há algum ônibus que passa em frente ao Shopping IGUATEMI?
mall	Shopping	Do you know any buses that pass in front of Shopping Via Sul?	Could you please tell me if there are any buses passing in front of Shopping IGUATEMI?	Você conhece algum ônibus que passa em frente ao Shopping Via Sul?	Você poderia por favor me dizer se há algum ônibus que passa em frente ao Shopping IGUATEMI?
Mammal	Mamífero				
Man	Cara	Heads or tails?	Heads or tails?	Cara ou coroa?	Cara ou coroa?
management	gestão	Management of a company is different from ownership of a company.	“Crisis management has always been her forte, whether saving the euro during the global financial crisis of 2009, keeping Europe together during the refugee crisis, or now coping with the pandemic,” Judy Dempsey of the think tank Carnegie Europe, noted recently in a commentary on Merkel’s legacy	A gestão de uma empresa é diferente da propriedade de uma empresa.	“A gestão de crises sempre foi o seu forte, seja a salvar o euro durante a crise financeira global de 2009, seja a manter a Europa unida durante a crise dos refugiados ou seja agora a enfrentar a pandemia”, observou recentemente a Judy Dempsey do grupo de reflexão Carnegie Europe num comentário sobre o legado da Merkel
manager	Gerente				
Mandala	mandala				
mandarin	mandarim	He speaks Mandarin.	I grew up speaking Swedish and English, learned German and Spanish at school, Portuguese and Romanian through two marriages, and some Russian, French, and Mandarin for fun.	Ele fala mandarim.	Fui criado falando sueco e inglês, aprendi alemão e espanhol na escola, português e romeno por meio de dois casamentos, e um pouco de russo, francês e mandarim por diversão
Mango	Manga				
Maniac	Maníaco				
manicure	manicure				
manipulation	manipulação	The handling of dynamite is dangerous.	Making use of fire may be regarded as man's greatest invention.	A manipulação de dinamite é perigosa.	A manipulação do fogo pode ser vista como a maior invenção do homem
mankind	humanidade	Humanity can change.	An anomaly which often struck me in the character of my friend Sherlock Holmes was that, although in his methods of thought he was the neatest and most methodical of mankind, and although also he affected a certain quiet primness of dress, he was none the less in his personal habits one of the most untidy men that ever drove a fellow-lodger to distraction	A humanidade pode mudar.	Uma anomalia que muitas vezes me marcava sobre o carácter do meu amigo Sherlock Holmes era que, embora nos seus processos de pensamento ele fosse o mais organizado e metódico de toda a humanidade e embora também afetasse um certo primado tranquilo de vestuário, ele era, não obstante, nos seus hábitos pessoais, um dos homens mais desarrumados que alguma vez levou um companheiro de pensão à distração
manslaughter	homicídio culposo				
manure	estrume	Five years ago, dairy farmer Darryl Vander Haak flipped the switch on the first electric generator in Washington State powered by manure.	Everybody understands that the soil becomes impoverished by continued cropping, if no return be made in the form of manure or fertilizer	Há cinco anos atrás, o produtor de laticínios Darryl Vander Haak ligou o interruptor do primeiro gerador elétrico do Estado de Washington alimentado por estrume.	Toda a gente compreende que o solo se empobrece com o cultivo contínuo, se não houver devolução na forma de estrume ou fertilizante
manure	estrume	Five years ago, dairy farmer Darryl Vander Haak flipped the switch on the first electric generator in Washington State powered by manure.	Everybody understands that the soil becomes impoverished by continued cropping, if no return be made in the form of manure or fertilizer	Há cinco anos atrás, o produtor de laticínios Darryl Vander Haak ligou o interruptor do primeiro gerador elétrico do Estado de Washington alimentado por estrume.	Toda a gente compreende que o solo se empobrece com o cultivo contínuo, se não houver devolução na forma de estrume ou fertilizante
Map	Mapa				
Maracuja	maracujá	I love passion fruit juice.	Rows of cabbages wind beneath passion fruit vines, and tiny red eggplants rub shoulders with the spikes of a rare type of leek.	Eu amo suco de maracujá.	Fileiras de repolhos serpenteiam sob trepadeiras de maracujá e minúsculas beringelas vermelhas roçam com os espinhos de um tipo raro de alho-porro
marathon	maratona	She can run a full marathon.	The marathon runner finished the competition completely out of breath	Ela consegue correr uma maratona completa.	O corredor de maratona terminou a prova completamente ofegante
marble	mármore	The desk is made of marble.	 / These delve the port; the broad foundations there / they lay for theatres of ample space, / and columns, hewn from marble rocks, prepare, / tall ornaments, the future stage to grace	A bancada é de mármore.	 / Aqui se draga o porto, ali se assentam / profundos alicerces para um teatro, / ou se talham do mármore colunas / imensas destinadas a adornar / o magnífico palco projetado
marble	mármore	The desk is made of marble.	 / These delve the port; the broad foundations there / they lay for theatres of ample space, / and columns, hewn from marble rocks, prepare, / tall ornaments, the future stage to grace	A bancada é de mármore.	 / Aqui se draga o porto, ali se assentam / profundos alicerces para um teatro, / ou se talham do mármore colunas / imensas destinadas a adornar / o magnífico palco projetado
March	Marchar				
mare	égua	My mare foaled.	Hugo ran from the house, crying to his grooms that they should saddle his mare and unkennel the pack, and giving the hounds a kerchief of the maid’s, he swung them to the line, and so off full cry in the moonlight over the moor	A minha égua pariu.	O Hugo saiu a correr da residência, gritando aos tratadores que deviam selar a sua égua e soltar a matilha, e dando aos cães de caça um lenço da donzela, ele impôs alguma ordem e assim partiram, em pleno pranto ao luar através da charneca
margin	margem	My house is on the riverbank.	In a sunny spot stood a pleasant old farm-house close by a deep river, and from the house down to the water side grew great burdock leaves, so high, that under the tallest of them a little child could stand upright. The spot was as wild as the centre of a thick wood. In this snug retreat sat a duck on her nest, watching for her young brood to hatch; she was beginning to get tired of her task, for the little ones were a long time coming out of their shells, and she seldom had any visitors.	Minha casa fica na margem do rio.	 Da casa até a margem do rio havia grandes folhas de bardana, tão altas, que, sob as mais altas delas uma criança poderia ficar de pé
market	mercado	I'll go shopping.	A conference sponsored by the Cato Institute, a Washington-based research group supporting free market policies, Wednesday delivered a mixed appraisal of the new World Trade Organization after 10 years of its existence	Vou ao mercado.	Uma conferência patrocinada pelo Instituto Cato, um grupo de pesquisa sediado em Washington que apoia políticas de mercado livre, apresentou na quarta-feira uma avaliação mista da nova Organização Mundial do Comércio após 10 anos da sua existência
market	mercado	I'll go shopping.	A conference sponsored by the Cato Institute, a Washington-based research group supporting free market policies, Wednesday delivered a mixed appraisal of the new World Trade Organization after 10 years of its existence	Vou ao mercado.	Uma conferência patrocinada pelo Instituto Cato, um grupo de pesquisa sediado em Washington que apoia políticas de mercado livre, apresentou na quarta-feira uma avaliação mista da nova Organização Mundial do Comércio após 10 anos da sua existência
marketing	marketing	I work in marketing.	We did that as a publicity stunt.	Eu trabalho com marketing.	Nós fizemos isso como uma jogada de marketing
marmot	marmota	The marmot is immortal.	The marmot is immortal	A marmota é imortal.	A marmota é imortal
marriage	casado	I'm married.	When people said that Tom had married Mary only because her uncle had left her a fortune, he answered that he would have done so regardless of who had left her the inheritance.	Eu sou casado.	Quando as pessoas diziam que Tom havia casado com Mary apenas porque o tio dela lhe deixara uma fortuna, ele respondia que teria casado, independentemente de quem tivesse deixado para ela a herança
marry	casar	Will you marry me?	 Nape was elated and advised her husband to marry off Chloe immediately, and not to keep a girl of her age any longer at home, observing that some artful shepherd might entice her whilst she was tending her flocks, and that the best course was to secure a good match for her	Quer casar comigo?	 A Nape ficou encantada e aconselhou o seu marido a casar imediatamente a Cloé e a não guardar mais uma rapariga da sua idade em casa, observando que algum pastor arteiro a poderia conquistar enquanto ela cuidava dos seus rebanhos e que o melhor rumo era obter um bom par para ela
marry	casar	Will you marry me?	 Nape was elated and advised her husband to marry off Chloe immediately, and not to keep a girl of her age any longer at home, observing that some artful shepherd might entice her whilst she was tending her flocks, and that the best course was to secure a good match for her	Quer casar comigo?	 A Nape ficou encantada e aconselhou o seu marido a casar imediatamente a Cloé e a não guardar mais uma rapariga da sua idade em casa, observando que algum pastor arteiro a poderia conquistar enquanto ela cuidava dos seus rebanhos e que o melhor rumo era obter um bom par para ela
